example address,earliest block,latest block,gas used,code length,code chunks,push bytes,PUSH1 zeros,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
0x495f947276749ce646f68ac8c248420045cb7b5e,11374507,19759657,218564842488,17141,536,43.87%,1.70%,2.40%,0.02%,10,9,9,8
0x02fe72b2e9ff717ebf3049333b184e9cd984f257,15876491,19759709,215802760306,680,22,40.88%,2.21%,4.56%,0,0,0,0,0
0x2f9ec37d6ccfff1cab21733bdadede11c823ccb0,10285691,19759666,214320084424,13865,434,35.65%,1.82%,2.63%,0.04%,13,14,13,12
0x989aeb4d175e16225e39e87d0d97a3360524ad80,12451000,19759676,212662376971,13397,419,53.36%,1.60%,1.84%,0.01%,2,2,3,2
0x66a71dcef29a0ffbdbe3c6a460a3b5bc225cd675,14390886,19759705,210562928610,15282,478,46.17%,1.35%,2.00%,0.01%,2,2,3,2
0x638a98bbb92a7582d07c52ff407d49664dc8b3ee,16088458,19758378,209251303146,6674,209,48.37%,1.60%,2.46%,0,0,0,0,0
0x03f7724180aa6b939894b5ca4314783b0b36b329,12771829,19759696,202560899510,18469,578,37.50%,1.95%,2.53%,0.01%,5,4,5,5
0x05b505f6bda522efd3b5f63b6338f275f14549a2,13027912,19759614,202515092472,680,22,39.26%,2.21%,4.56%,0,0,0,0,0
0x8731d54e9d02c286767d56ac03e8037c07e01e98,14402873,19759705,195141596925,20911,654,30.40%,1.96%,3.54%,0.05%,17,18,18,16
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,7605793,19759709,194972898145,2947,93,35.26%,2.31%,3.73%,0.37%,13,13,12,13
0x00532d8047b0e69c8fb056fa35c75cad405f9fdb,12771728,19759696,194837201144,10654,333,41.17%,1.49%,2.70%,0.05%,7,8,8,7
0x158079ee67fce2f58472a96584a73c7ab9ac95c1,7710762,19759705,194592688155,18970,593,33.15%,2.26%,3.61%,0.10%,32,33,34,33
0xb1690c08e213a35ed9bab7b318de14420fb57d8c,4605187,19752613,193889369777,3461,109,37.99%,2.25%,3.55%,0.09%,6,7,6,6
0x013ae307648f529aa72c5767a334ddd37aab43c3,6834837,19740470,191958496917,2009,63,48.58%,1.39%,2.29%,0.10%,5,4,4,4
0x0045d5d2cac7688f7fc36313e69fb5350958936c,6627956,19759649,191225961783,46,2,63.04%,10.87%,0,0,0,0,0,0
0x07cff9c779702a57a4da4b15ef9a0af58e9472d3,5769024,19754889,188082770198,12720,398,34.40%,2.23%,3.19%,0.08%,20,22,21,19
0x03f34be1bf910116595db1b11e9d1b2ca5d59659,11463052,19759673,182119047175,1612,51,47.08%,1.55%,3.85%,0.06%,3,3,3,2
0x08656c4a9abc2a8f403514f14a8d22043f3794c0,7857390,19450790,177248937270,6797,213,36.31%,1.62%,3.00%,0.04%,6,5,5,5
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,9117773,19759677,176873833397,5191,163,37.57%,1.83%,3.12%,0,0,0,0,0
0xd1ceeeeee83f8bcf3bedad437202b6154e9f5405,6287169,15559460,171096840265,9474,297,45.97%,0.91%,1.77%,0.05%,9,8,7,8
0x0000000b71f2d236c38ae51952c46f03b89d0777,9246707,19759709,169916898447,170,6,60.00%,6.47%,1.18%,0,0,0,0,0
