example address,earliest block,latest block,gas used,code length,code chunks,push bytes,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
0x47312450b3ac8b5b8e247a6bb6d523e7605bdb60,17000380,19824413,44153444176,6090,191,36.44%,2.64%,0,0,0,0,0
0x2191ccb37c110d3e439c4ad38a30b8d0db321f2a,17000015,19824179,43587094852,2261,71,58.29%,3.49%,0.09%,5,4,4,3
0x0de4ea0184c2ad0baca7183356aea5b8d5bf5c6e,17037760,19824407,43250853133,2497,79,43.09%,4.33%,0.08%,5,4,4,4
0x5e3ef299fddf15eaa0432e6e66473ace8c13d908,17000023,19824409,43115975850,1914,60,34.12%,3.13%,0.10%,3,3,3,2
0x036676389e48133b63a802f8635ad39e752d375d,18758282,19824413,42339070436,2837,89,60.24%,3.28%,0.07%,5,4,5,4
0x000310291683d6d6ec198cde36c4cd1383f8bee1,17000001,19824417,42338533361,170,6,60.00%,1.18%,0,0,0,0,0
0x4a14347083b80e5216ca31350a2d21702ac3650d,17000024,19824283,42043321888,19897,622,43.84%,3.16%,0.02%,10,9,8,8
0x4aa799c5dfc01ee7d790e3bf1a7c2257ce1dceff,19128051,19824417,41782540326,163,6,50.31%,4.91%,0,0,0,0,0
0xd152f549545093347a162dce210e7293f1452150,17000006,19824352,41171272750,1780,56,43.88%,2.36%,0,0,0,0,0
0x7122985656e38bdc0302db86685bb972b145bd3c,18204370,19824417,40743274885,15517,485,34.52%,3.98%,0.08%,20,19,20,19
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,17000001,19824416,40381209208,5346,168,52.97%,1.91%,0.04%,3,3,3,2
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,17021564,19824416,39425345302,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x3b95bc951ee0f553ba487327278cac44f29715e5,17000246,19824415,38758947255,2472,78,60.23%,3.07%,0,0,0,0,0
0x40aa958dd87fc8305b97f2ba922cddca374bcd7f,17000065,19824417,38710668375,2133,67,44.82%,3.38%,0.28%,3,4,4,3
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,17000003,19824416,38149824543,2947,93,35.26%,3.73%,0.37%,13,13,12,13
0x05b505f6bda522efd3b5f63b6338f275f14549a2,17000013,19824407,37967076254,680,22,39.26%,4.56%,0,0,0,0,0
0xd51a44d3fae010294c616388b506acda1bfaae46,17000004,19824413,36838047531,24427,764,40.34%,3.34%,0.07%,28,27,24,24
0x989aeb4d175e16225e39e87d0d97a3360524ad80,17000066,19824404,36790808720,13397,419,53.36%,1.84%,0.01%,2,2,3,2
0x86e4dc95c7fbdbf52e33d563bbdb00823894c287,17000008,19824403,36759671692,1696,53,33.49%,4.25%,0.18%,5,4,4,3
0x00000000000111abe46ff893f3b2fdf1f759a8a8,17000000,19817955,36452107652,3667,115,46.58%,2.78%,0.08%,6,5,5,4
0x92d6c1e31e14520e676a687f0a93788b716beff5,17000063,19824409,36005586344,11913,373,36.65%,2.69%,0.09%,16,15,16,17
0x00000047bb99ea4d791bb749d970de71ee0b1a34,17911287,19824417,35845906510,23182,725,33.53%,3.74%,0.07%,31,34,32,28
0x40a2accbd92bca938b02010e17a5b8929b49130d,17000010,19824392,35795518082,410,13,29.02%,3.41%,0,0,0,0,0
0x536c55cfe4892e581806e10b38dfe8083551bd03,17000027,19824327,35397916753,3750,118,30.67%,3.31%,0.19%,9,9,8,8
0x9ac758ab77733b4150a901ebd659cbf8cb93ed66,17000091,19823960,35145980845,2215,70,47.31%,3.93%,0,0,0,0,0
0x16ca3e500da893cf2eebb6b401247e68ca5bc072,17000021,19824382,34976269264,2251,71,44.16%,4.18%,0.13%,6,5,5,6
0x02651e355d26f3506c1e644ba393fdd9ac95eaca,17000272,19823997,34611562499,1756,55,45.56%,4.04%,0.06%,3,3,3,2
0xfa7093cdd9ee6932b4eb2c9e1cde7ce00b1fa4b9,17000844,19824405,34509732600,1646,52,60.69%,2.73%,0.12%,3,4,4,4
0x5a54fe5234e811466d5366846283323c954310b2,17000002,19824415,34143708785,1554,49,57.34%,3.47%,0.06%,3,3,3,2
0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,17000005,19824310,33882291645,5547,174,39.53%,2.24%,0.02%,2,3,3,2
0x0d16d4528239e9ee52fa531af613acdb23d88c94,17000002,19824416,33858243641,9571,300,52.70%,2.02%,0.05%,7,8,8,8
0x5954ab967bc958940b7eb73ee84797dc8a2afbb9,17000010,19824386,32453297841,23412,732,32.67%,3.28%,0.04%,21,22,22,22
0xce16f69375520ab01377ce7b88f5ba8c48f8d666,17000197,19824404,32396577026,1690,53,60.24%,3.49%,0.12%,3,3,3,2
0x3416cf6c708da44db2624d63ea0aaef7113527c6,17000005,19824415,32296571300,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x20f780a973856b93f63670377900c1d2a50a77c4,17000093,19824270,32061464649,602,19,30.23%,3.32%,0,0,0,0,0
0xaaee1a9723aadb7afa2810263653a34ba2c21c7a,17731703,19824416,31897899672,8321,261,36.11%,3.63%,0.11%,16,14,14,13
0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,17000003,19824416,31487873652,9394,294,44.88%,2.35%,0.03%,6,7,6,6
0x000000000000aaeb6d7670e522a718067333cd4e,17000000,19824416,31074676370,14408,451,59.17%,2.30%,0.08%,24,29,26,24
0x396abf9ff46e21694f4ef01ca77c6d7893a017b2,18204459,19824405,30640078952,6073,190,31.10%,4.76%,0.20%,18,22,22,21
0x13f4ea83d0bd40e75c8222255bc855a974568dd4,17000016,19824394,30305487452,24316,760,31.11%,3.87%,0.13%,49,52,52,48
0x053d5be7c653325b58d88b942fb2454f8ffd8673,17000044,19824400,30288425278,45,2,46.67%,2.22%,0,0,0,0,0
0xa58e81fe9b61b5c3fe2afd33cf304c454abfc7cb,17000001,19824416,30172248801,3382,106,46.84%,3.46%,0.18%,10,10,9,9
0x0000000000664ceffed39244a8312bd895470803,17033225,19820036,30063035633,5854,183,56.58%,3.33%,0.09%,10,9,8,8
0x00005ea00ac477b1030ce78506496e8c2de24bf5,17000000,19824348,29996958624,21081,659,52.98%,2.41%,0.03%,11,12,12,10
0x1d6dedb49af91a11b5c5f34954fd3e8cc4f03a86,17000120,19535518,29980142921,11434,358,42.20%,3.60%,0.05%,13,14,14,13
0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,17000015,19824416,29676418623,8007,251,44.75%,2.70%,0.06%,9,8,7,8
0x5d25eef8cfedaa47d31fe2346726de1c21e342fb,17445568,19612161,29572342898,23546,736,42.26%,2.99%,0.13%,49,50,50,57
0xa6b71e26c5e0845f74c812102ca7114b6a896ab2,17000129,19824411,29437711051,3774,118,41.28%,2.01%,0,0,0,0,0
0xa0c68c638235ee32657e8f720a23cec1bfc77c77,17000006,19824403,28785342447,2949,93,50.39%,2.34%,0.07%,5,4,4,3
0x3a05e5d33d7ab3864d53aaec93c8301c1fa49115,19300391,19824413,28264476471,1883,59,36.86%,3.98%,0.42%,9,8,8,9
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,17000017,19824413,27790654861,22142,692,33.21%,2.96%,0.05%,20,18,18,18
0x25ace71c97b33cc4729cf772ae268934f7ab5fa1,17000016,19824375,27148158292,548,18,32.66%,1.82%,0.18%,2,3,3,2
0x5283d291dbcf85356a21ba090e6db59121208b44,17000004,19824413,26586164750,8696,272,41.52%,3.55%,0.09%,13,14,14,13
0x2fb42ffe2d7df8381853e96304300c6a5e846905,17069899,19824389,26415006216,11474,359,48.09%,2.00%,0.01%,3,3,3,2
0x4d224452801aced8b2f0aebe155379bb5d594381,17000001,19824416,26157896577,2244,71,40.11%,3.52%,0.13%,3,3,3,2
0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,18940312,19824416,26099570644,4948,155,38.28%,4.06%,0.14%,7,8,8,7
0xb81965ddfdda3923f292a47a1be83ba3a36b5133,17228162,19823632,24845378318,5150,161,57.50%,1.84%,0.04%,2,3,3,2
0x00ad8ebf64f141f1c81e9f8f792d3d1631c6c684,17000010,19824360,24739754642,1779,56,46.26%,3.49%,0.06%,3,3,3,2
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,17000431,19824400,24304804219,5725,179,39.76%,3.88%,0.02%,2,2,3,2
0xa347c391bc8f740caba37672157c8aacd08ac567,17069899,19824417,24075813154,23264,727,43.32%,2.55%,0.06%,32,30,29,25
0x0000000000000068f116a894984e2db1123eb395,19442353,19824415,24016805740,23981,750,42.60%,3.77%,0.15%,53,55,57,52
0x72e2f4830b9e45d52f80ac08cb2bec0fef72ed9c,17000008,19824395,23990314372,2979,94,36.99%,3.16%,0.23%,9,9,8,8
0x2a3dd3eb832af982ec71669e178424b10dca2ede,17000006,19824416,23850751841,2583,81,58.42%,3.56%,0.08%,5,4,4,3
0xdbe1941bfbe4410d6865b9b7078e0b49af144d2d,17000227,19824416,23285113165,20871,653,31.87%,2.32%,0.07%,29,32,31,30
0xbbf1ee38152e9d8e3470dc47947eaa65dca94913,17210368,19824385,23100953915,17646,552,48.61%,2.93%,0.05%,14,14,14,16
0x0000000001e4ef00d069e71d6ba041b0a16f7ea0,17000360,19824213,23043078285,7245,227,69.15%,3.15%,0.03%,6,5,5,4
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,17000014,19824345,22807760993,17762,556,33.39%,2.61%,0.03%,13,12,11,11
0xb58a659eee982fe4e6ce0c2c37ebd0f7e8224d7e,19075930,19789315,22312711127,1159,37,37.96%,4.40%,0.09%,2,2,3,2
0x00532d8047b0e69c8fb056fa35c75cad405f9fdb,17000027,19824401,22235551602,10654,333,41.17%,2.70%,0.05%,7,8,8,8
0xdf0770df86a8034b3efef0a1bb3c889b8332ff56,17000025,19824265,22145890512,17626,551,41.69%,3.35%,0.06%,17,15,15,16
0xc71b5f631354be6853efe9c3ab6b9590f8302e81,19404139,19824415,22116676659,5824,182,53.62%,3.23%,0.15%,13,15,14,14
0x72e4f9f808c49a2a61de9c5896298920dc4eeea9,17228256,19824380,22043053479,7102,222,37.24%,3.63%,0.07%,7,7,6,6
